App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Herpes Positive Singles Dating,DATING,4.4,198,28M,"10,000+",0,0,Mature 17+,Dating,18-May-18,5.5.7,4.1 and up
"Chat Rooms, Avatars, Date - Galaxy",DATING,4.3,135420,Varies with device,"10,000,000+",0,0,Mature 17+,Dating,07-Jul-18,Varies with device,Varies with device
"FastMeet: Chat, Dating, Love",DATING,4.2,22545,5.9M,"1,000,000+",0,0,Mature 17+,Dating,27-Jul-18,1.31.4,4.0.3 and up
Christian Dating For Free App,DATING,3.9,8723,13M,"500,000+",0,0,Mature 17+,Dating,20-Jun-18,15.8,4.1 and up
Glam - Premium Dating App,DATING,4.3,23170,9.0M,"500,000+",0,0,Mature 17+,Dating,25-Jul-18,1.5.4.0,4.1 and up
"iDates - Chats, Flirts, Dating, Love & Relations",DATING,3.4,13890,20M,"500,000+",0,0,Mature 17+,Dating,19-Jun-18,4.9.2 (Oasis),4.2 and up
"Meet24 - Love, Chat, Singles",DATING,4.2,57083,7.9M,"1,000,000+",0,0,Mature 17+,Dating,27-Jul-18,1.31.3,4.0.3 and up
Black White Interracial Dating - Interracial Match,DATING,4.1,537,28M,"100,000+",0,0,Mature 17+,Dating,29-Mar-18,2.0.0,4.1 and up
JustDating,DATING,4,13440,49M,"500,000+",0,0,Mature 17+,Dating,03-Aug-18,3.10.5,4.0.3 and up
Interracial Match Dating App,DATING,3.6,143,27M,"10,000+",0,0,Mature 17+,Dating,23-Jul-18,2.2.7,4.1 and up
Russian Dating & Chat for Russian speaking RusDate,DATING,4.2,1059,18M,"100,000+",0,0,Mature 17+,Dating,26-Jul-18,1.17,4.2 and up
Sky People (SPI): A secure blind date through authentication by Seoul National University,DATING,3.5,894,14M,"100,000+",0,0,Mature 17+,Dating,17-Jul-18,3.1.3,4.1 and up
Sweet mi - unlimited hunnam hunting blind date,DATING,4,6191,27M,"500,000+",0,0,Mature 17+,Dating,12-Jul-18,0.0.73,4.1 and up
Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,4.1,2212,41M,"100,000+",0,0,Mature 17+,Dating,20-Jun-18,2.0.5,4.0.3 and up
Mingle - Online Dating App to Chat & Meet People,DATING,4.1,15081,38M,"1,000,000+",0,0,Mature 17+,Dating,26-Jul-18,4.7.6,4.1 and up
Adult Dirty Emojis,DATING,2.8,80,5.5M,"10,000+",0,0,Teen,Dating,06-Nov-17,1,4.0.3 and up
BBW Dating & Curvy Singles Chat- LargeFriends,DATING,4.4,218,27M,"10,000+",0,0,Mature 17+,Dating,23-Jul-18,5.2.9,4.1 and up
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35205,7.2M,"1,000,000+",0,0,Everyone,Dating,21-May-18,2.9.6,4.0 and up
Hitwe - meet people and chat,DATING,4.2,243950,21M,"10,000,000+",0,0,Mature 17+,Dating,10-May-18,4.3.2,4.1 and up
A hundred,DATING,4.1,236,8.8M,"10,000+",0,0,Mature 17+,Dating,29-Mar-18,3.9.2,4.0.3 and up
JustSayHi- Dating App. Chat & Meet Singles Nearby,DATING,4.2,5152,38M,"100,000+",0,0,Mature 17+,Dating,26-Jul-18,3.6.3,4.1 and up
FERZU - Furries Social Network,DATING,3.9,1576,Varies with device,"10,000+",0,0,Mature 17+,Dating,16-Feb-18,4.4.1,4.1 and up
WannaMeet – Dating & Chat App,DATING,4.1,6701,11M,"1,000,000+",0,0,Mature 17+,Dating,29-Jun-18,5.16.2,4.0.3 and up
"Meet4U - Chat, Love, Singles!",DATING,4.2,40039,6.5M,"1,000,000+",0,0,Mature 17+,Dating,27-Jul-18,1.31.3,4.0.3 and up
Luxy Pro- Elite Dating Single,DATING,3.9,742,26M,"50,000+",0,0,Mature 17+,Dating,07-Apr-18,5.3.3.13289,4.0.3 and up
Dating Network,DATING,4,187,19M,"10,000+",0,0,Mature 17+,Dating,26-Jul-18,1.17,4.2 and up
"Chatting - Free chat, random chat, boyfriend, girlfriend",DATING,4.2,2506,6.1M,"500,000+",0,0,Mature 17+,Dating,15-Jun-17,3.0.0,4.0 and up
"iPair-Meet, Chat, Dating",DATING,4.5,182986,77M,"5,000,000+",0,0,Mature 17+,Dating,02-Aug-18,5.0.8,4.1 and up
"Meet, chat & date. Free dating app - Chocolate app",DATING,3.9,8661,9.5M,"1,000,000+",0,0,Mature 17+,Dating,03-Apr-18,0.1.11,4.0 and up
Transenger – Ts Dating and Chat for Free,DATING,3.6,8,14M,"1,000+",0,0,Mature 17+,Dating,29-Jul-18,1.4.0,4.4 and up
O-Star,DATING,4.4,59,38M,"5,000+",0,0,Everyone,Dating,19-Jul-18,1.0.1,4.3 and up
Free Cam Girls - Live Webcam,DATING,3.5,35,16M,"1,000+",0,0,Mature 17+,Dating,16-Jul-18,2.4,4.0.3 and up
Cardi B Live Stream Video Chat - Prank,DATING,4.4,28,3.4M,500+,0,0,Everyone,Dating,16-Jul-18,2.5,4.0.3 and up
Live Girls Talk - Free Video Chat,DATING,4.8,125,4.7M,"5,000+",0,0,Mature 17+,Dating,08-Jul-18,8.2,4.0.3 and up
Live Talk - Free Text and Video Chat,DATING,4.6,185,5.0M,"10,000+",0,0,Mature 17+,Dating,16-Jul-18,8.2,4.0.3 and up
Chat Kids - Chat Room For Kids,DATING,4.7,6,4.9M,100+,0,0,Mature 17+,Dating,24-Jul-18,1,4.0.3 and up
Girls Live Chat - Free Text & Video Chat,DATING,4.8,110,4.9M,"10,000+",0,0,Mature 17+,Dating,09-Jul-18,8.2,4.0.3 and up
Random Video Chat,DATING,0,3,16M,"1,000+",0,0,Mature 17+,Dating,15-Jul-18,4.2,4.0.3 and up
MouseMingle,DATING,2.7,3,3.9M,100+,0,0,Mature 17+,Dating,17-Jul-18,1.0.0,4.4 and up
American Girls Mobile Numbers,DATING,5,5,4.4M,"1,000+",0,0,Mature 17+,Dating,17-Jul-18,3,4.0.3 and up
Random Video Chat App With Strangers,DATING,0,3,4.8M,"1,000+",0,0,Mature 17+,Dating,17-Jul-18,1,4.0 and up
FREE VIDEO CHAT - LIVE VIDEO AND TEXT CHAT,DATING,4.8,84,4.5M,"1,000+",0,0,Mature 17+,Dating,06-Jul-18,8.2,4.0.3 and up
Awake Dating,DATING,5,2,70M,100+,0,0,Mature 17+,Dating,24-Jul-18,2.2.9,4.4 and up
Live Chat - Free Video Chat Rooms,DATING,4.8,20,4.9M,500+,0,0,Mature 17+,Dating,15-Jul-18,8.2,4.0.3 and up
Meet With Strangers: Video Chat & Dating,DATING,0,2,3.7M,500+,0,0,Mature 17+,Dating,16-Jul-18,1,4.0 and up
FREE LIVE TALK,DATING,4.9,776,4.9M,"5,000+",0,0,Mature 17+,Dating,14-Jul-18,8.2,4.0.3 and up
Random Chat App with Strangers,DATING,3,2,16M,100+,0,0,Mature 17+,Dating,17-Jul-18,2.5,4.0.3 and up
Ost. Zombies Cast - New Music and Lyrics,DATING,0,1,4.6M,100+,0,0,Teen,Dating,20-Jul-18,1,4.0.3 and up
Dating White Girls,DATING,0,0,3.6M,50+,0,0,Mature 17+,Dating,20-Jul-18,1,4.0 and up
Live Chat - Free Video Talk,DATING,4.7,14,21M,"5,000+",0,0,Mature 17+,Dating,03-Aug-18,1.3,4.1 and up
Geeks Dating,DATING,0,0,13M,50+,0,0,Mature 17+,Dating,10-Jul-18,1,4.1 and up
Live chat - free video chat,DATING,0,1,8.7M,500+,0,0,Mature 17+,Dating,23-Jul-18,3.52,4.0.3 and up
House party - live chat,DATING,1,1,9.2M,10+,0,0,Mature 17+,Dating,31-Jul-18,3.52,4.0.3 and up
Fishing Brain & Boating Maps Marine,DATING,0,3,6.9M,500+,0,0,Everyone,Dating,23-Jul-18,1,4.0.3 and up
CAM5678 Video Chat,DATING,0,0,39M,500+,0,0,Mature 17+,Dating,13-Jul-18,5.5.8,4.0.3 and up
Video chat live advices,DATING,0,0,8.0M,100+,0,0,Everyone,Dating,10-Jul-18,1,3.0 and up
chat live chat,DATING,0,24,3.9M,"1,000+",0,0,Mature 17+,Dating,26-Jul-18,1,4.0 and up
Pet Lovers Dating,DATING,0,0,14M,10+,0,0,Mature 17+,Dating,09-Jul-18,1,4.1 and up
Friend Find: free chat + flirt dating app,DATING,0,23,11M,100+,0,0,Mature 17+,Dating,31-Jul-18,1,4.4 and up
Latin Dating,DATING,0,0,13M,10+,0,0,Mature 17+,Dating,09-Jul-18,1,4.1 and up
Spine- The dating app,DATING,5,5,9.3M,500+,0,0,Teen,Dating,14-Jul-18,4,4.0.3 and up
Online Chat Girls Meet,DATING,4.7,18,5.0M,500+,0,0,Mature 17+,Dating,25-Jul-18,8.2,4.0.3 and up
Wifi Mingle,DATING,0,0,10.0M,10+,0,0,Everyone,Dating,27-Jul-18,1.3,4.4 and up
Girls Live Talk - Free Text and Video Chat,DATING,5,6,5.0M,100+,0,0,Mature 17+,Dating,01-Aug-18,8.2,4.0.3 and up
Soy Luna - Top Music And Lyrics,DATING,0,1,5.0M,100+,0,0,Teen,Dating,24-Jul-18,1,4.0.3 and up
When Will You Get Married,DATING,0,2,3.6M,10+,0,0,Everyone,Dating,14-Jul-18,1,4.0.3 and up
HOW TO ASK A GIRL OUT,DATING,0,0,19M,10+,0,0,Everyone,Dating,16-Jul-18,1,4.0.3 and up
Online Girls Chat Group,DATING,5,5,5.0M,100+,0,0,Mature 17+,Dating,02-Aug-18,8.2,4.0.3 and up
The DJ - Match with People,DATING,0,0,9.8M,50+,0,0,Mature 17+,Dating,02-Aug-18,1.2,4.1 and up
Toronto Dating,DATING,0,0,14M,100+,0,0,Mature 17+,Dating,12-Jul-18,1,4.1 and up
i miss you quotes and photos,DATING,0,0,5.0M,100+,0,0,Everyone,Dating,22-Jul-18,1.0.7,4.0 and up
JoJo Siwa Top Hits Music,DATING,0,0,4.9M,10+,0,0,Teen,Dating,26-Jul-18,1,4.0.3 and up
UK Girls Mobile Numbers,DATING,3,1,5.5M,500+,0,0,Mature 17+,Dating,19-Jul-18,1,4.0.3 and up
chat saudi arabia,DATING,4.1,11,11M,"1,000+",0,0,Mature 17+,Dating,14-Jul-18,1.1,4.0 and up
Chat Click - Dating Search,DATING,0,4,3.8M,500+,0,0,Mature 17+,Dating,11-Jul-18,1,3.0 and up
Iraq love chat,DATING,0,14,5.0M,50+,0,0,Teen,Dating,03-Aug-18,8.2,4.0.3 and up
Healthy Relationships Guide,DATING,0,0,8.2M,1+,0,0,Everyone,Dating,31-Jul-18,2,4.0.3 and up
following,DATING,0,1,21M,10+,0,0,Mature 17+,Dating,24-Jul-18,1.0.3,4.2 and up
Gods by Night,DATING,0,104,12M,"1,000+",0,0,Mature 17+,Dating,22-Jul-18,3.5.4.2.3,4.1 and up
PlusOne,DATING,0,0,10M,1+,0,0,Mature 17+,Dating,17-Jul-18,1.1.1,4.2 and up
Love Calendar - Couple Sharing Calendar & CoupleDay,DATING,0,14,3.3M,50+,0,0,Everyone,Dating,30-Jul-18,1.6,4.1 and up
Speeding Joyride & Car Meet App,DATING,5,3,25M,100+,0,0,Mature 17+,Dating,20-Jul-18,1.2.9,4.1 and up
LOBSTR - go on a lunch date,DATING,3.7,101,15M,"10,000+",0,0,Mature 17+,Dating,24-Jul-18,2,4.1 and up
Titanic App - Feminist Dating Application,DATING,4.5,120,10M,500+,0,0,Mature 17+,Dating,04-Aug-18,1.5-beta,5.0 and up
French Chat Room,DATING,4.2,24,4.9M,"1,000+",0,0,Mature 17+,Dating,11-Jul-18,1,4.0.3 and up
Soul Mate,DATING,0,0,4.4M,10+,0,0,Mature 17+,Dating,19-Jul-18,4.5.0,4.0.3 and up
Diamond Engagement Rings,DATING,0,0,3.5M,5+,0,0,Everyone,Dating,12-Jul-18,6.1,4.0 and up
Dating Tips For Men,DATING,0,0,7.8M,10+,0,0,Everyone,Dating,09-Jul-18,3,4.0.3 and up
Halalguur,DATING,4.3,6,9.0M,100+,0,0,Mature 17+,Dating,26-Jul-18,3.7,4.0.3 and up
95Live -SG#1 Live Streaming App,DATING,4.1,4954,15M,"1,000,000+",0,0,Teen,Dating,01-Aug-18,8.7.2,4.2 and up
Just She - Top Lesbian Dating,DATING,1.9,954,19M,"100,000+",0,0,Mature 17+,Dating,18-Jul-18,6.3.7,5.0 and up
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2560,56M,"100,000+",0,0,Mature 17+,Dating,01-Aug-18,2.5.2,4.1 and up
O-Star,DATING,4.4,59,38M,"5,000+",0,0,Everyone,Dating,19-Jul-18,1.0.1,4.3 and up
Random Video Chat,DATING,0,3,16M,"1,000+",0,0,Mature 17+,Dating,15-Jul-18,4.2,4.0.3 and up
Black People Meet Singles Date,DATING,3.9,10212,5.0M,"1,000,000+",0,0,Mature 17+,Dating,25-Jul-18,1.9.7,4.4 and up
Howlr,DATING,3.9,105,27M,"5,000+",0,0,Mature 17+,Dating,19-Jun-18,1.0.4,4.4 and up
Find Lover,DATING,0,21,4.7M,"1,000+",0,0,Mature 17+,Dating,27-Jul-18,1.0.2,4.0.3 and up
Free Dating & Flirt Chat - Choice of Love,DATING,4,42197,Varies with device,"5,000,000+",0,0,Mature 17+,Dating,24-Jul-18,Varies with device,Varies with device
Cardi B Live Stream Video Chat - Prank,DATING,4.4,28,3.4M,500+,0,0,Everyone,Dating,16-Jul-18,2.5,4.0.3 and up
Chat Kids - Chat Room For Kids,DATING,4.7,6,4.9M,100+,0,0,Mature 17+,Dating,24-Jul-18,1,4.0.3 and up
"muzmatch: Muslim & Arab Singles, Marriage & Dating",DATING,3.8,5168,25M,"100,000+",0,0,Mature 17+,Dating,24-Jul-18,3.8.75a,4.0.3 and up
BBW Dating & Plus Size Chat,DATING,4.4,12633,29M,"1,000,000+",0,0,Mature 17+,Dating,27-Jul-18,3.5.0.1,4.1 and up
"2Date Dating App, Love and matching",DATING,4.4,41605,8.1M,"500,000+",0,0,Mature 17+,Dating,26-Jul-18,4.813,4.0.3 and up
Transenger – Ts Dating and Chat for Free,DATING,3.6,8,14M,"1,000+",0,0,Mature 17+,Dating,29-Jul-18,1.4.0,4.4 and up
BBW Dating & Curvy Singles Chat- LargeFriends,DATING,4.4,218,27M,"10,000+",0,0,Mature 17+,Dating,23-Jul-18,5.2.9,4.1 and up
MouseMingle,DATING,2.7,3,3.9M,100+,0,0,Mature 17+,Dating,17-Jul-18,1.0.0,4.4 and up
FlirtChat - ♥Free Dating/Flirting App♥,DATING,4.3,2433,13M,"500,000+",0,0,Mature 17+,Dating,26-Jul-18,12.0.4,4.1 and up
Live Talk - Free Text and Video Chat,DATING,4.6,185,5.0M,"10,000+",0,0,Mature 17+,Dating,16-Jul-18,8.2,4.0.3 and up
Adult Dirty Emojis,DATING,2.8,80,5.5M,"10,000+",0,0,Teen,Dating,06-Nov-17,1,4.0.3 and up
Free Cam Girls - Live Webcam,DATING,3.5,35,16M,"1,000+",0,0,Mature 17+,Dating,16-Jul-18,2.4,4.0.3 and up
Random Video Chat App With Strangers,DATING,0,3,4.8M,"1,000+",0,0,Mature 17+,Dating,17-Jul-18,1,4.0 and up
Teenage Chat & Dating,DATING,3.4,5,14M,500+,0,0,Mature 17+,Dating,09-Jul-18,1.2,4.1 and up
Live Girls Talk - Free Video Chat,DATING,4.8,125,4.7M,"5,000+",0,0,Mature 17+,Dating,08-Jul-18,8.2,4.0.3 and up
Girls Online Talk - Free Text and Video Chat,DATING,4.7,791,3.7M,"10,000+",0,0,Mature 17+,Dating,15-May-18,8.2,4.0.3 and up
Girls Live Chat - Free Text & Video Chat,DATING,4.8,110,4.9M,"10,000+",0,0,Mature 17+,Dating,09-Jul-18,8.2,4.0.3 and up
Online Girls Chat,DATING,4.8,5323,3.5M,"50,000+",0,0,Mature 17+,Dating,21-Apr-18,8.2,4.0.3 and up
LIVE VIDEO TALK,DATING,4.7,478,4.5M,"10,000+",0,0,Mature 17+,Dating,28-Jun-18,8.2,4.0.3 and up
Free Dating App - Meet Local Singles - Flirt Chat,DATING,4.1,825,Varies with device,"100,000+",0,0,Mature 17+,Dating,28-Dec-17,1.0.5,4.0 and up
SkyLove – Dating and chat,DATING,3.5,69,36M,"5,000+",0,0,Mature 17+,Dating,04-Aug-18,1.0.82,4.4 and up
Free Live Talk-Video Call,DATING,4.7,158,4.5M,"10,000+",0,0,Mature 17+,Dating,05-Jul-18,8.2,4.0.3 and up
FindLoving,DATING,3.8,24,19M,"1,000+",0,0,Mature 17+,Dating,02-Aug-18,1.0.5,4.0 and up
Sugar Daddies Dating App,DATING,2.9,53,14M,"10,000+",0,0,Mature 17+,Dating,10-Jul-18,4.1,4.1 and up
"iPair-Meet, Chat, Dating",DATING,4.5,182986,77M,"5,000,000+",0,0,Mature 17+,Dating,02-Aug-18,5.0.8,4.1 and up
Free Dating Hook Up Messenger,DATING,3.3,1157,21M,"100,000+",0,0,Mature 17+,Dating,27-Jan-17,5.0.1,4.2 and up
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97699,7.9M,"1,000,000+",0,0,Mature 17+,Dating,10-Jul-18,1.23,4.0.3 and up
"Chat Mexico: meet people, flirt and friendship",DATING,0,8,9.3M,"5,000+",0,0,Mature 17+,Dating,02-Jul-18,3.7,4.0.3 and up
Duolingo: Learn Languages Free,EDU,4.7,6289924,Varies with device,"100,000,000+",0,0,Everyone,EDU;EDU,01-Aug-18,Varies with device,Varies with device
TED,EDU,4.6,181893,18M,"10,000,000+",0,0,Everyone 10+,EDU,27-Jul-18,3.2.5,4.1 and up
English COMM - Learn English for Chinese (Learn English for Chinese),EDU,4.7,2544,18M,"100,000+",0,0,Everyone,EDU,29-Dec-17,3.1,4.0 and up
Khan Academy,EDU,4.6,85375,21M,"5,000,000+",0,0,Everyone,EDU,27-Jul-18,5.0.0,4.1 and up
Learn English with Wlingua,EDU,4.7,314299,3.3M,"10,000,000+",0,0,Everyone,EDU,02-May-18,1.94.9,4.0 and up
Ai La Trieu Phu - ALTP Free,EDU,0,776,24M,"100,000+",0,0,Everyone,EDU,23-Jul-18,1.5,4.0 and up
Princess Coloring Book,EDU,4.5,9770,39M,"5,000,000+",0,0,Everyone,EDU;Creativity,25-Feb-18,1.2.8,4.0 and up
Learn Spanish - Español,EDU,4.7,32346,3.2M,"1,000,000+",0,0,Everyone,EDU,18-Dec-17,1.3.8,4.0 and up
English Grammar Test,EDU,4.8,4075,5.1M,"500,000+",0,0,Everyone,EDU,22-Jun-18,2.1.8,4.0.3 and up
Speed Reading,EDU,4.6,10611,11M,"500,000+",0,0,Everyone,EDU,27-May-18,2.3.7,4.0 and up
English for beginners,EDU,4.6,9321,27M,"1,000,000+",0,0,Everyone,EDU,18-Jul-18,2.9.0,4.0 and up
Flame - درب عقلك يوميا,EDU,4.6,56065,37M,"1,000,000+",0,0,Everyone,EDU,26-Jul-18,3.3,4.1 and up
Mermaids,EDU,4.2,14286,Varies with device,"5,000,000+",0,0,Everyone,EDU;Creativity,26-Apr-18,Varies with device,4.1 and up
"Learn Japanese, Korean, Chinese Offline & Free",EDU,4.9,133136,26M,"1,000,000+",0,0,Everyone,EDU;EDU,20-Jul-18,2.16.11.10,4.2 and up
Kids Mode,EDU,3.8,2469,11M,"500,000+",0,0,Everyone,EDU,23-Mar-18,Varies with device,Varies with device
PBS KIDS Video,EDU,4.2,36212,Varies with device,"5,000,000+",0,0,Everyone,EDU;Music & Video,12-Jul-18,Varies with device,Varies with device
Dinosaurs Coloring Pages,EDU,4.4,390,41M,"500,000+",0,0,Everyone,EDU;EDU,03-Feb-18,1.1.6,4.0 and up
Cars Coloring Pages,EDU,4.4,1090,49M,"1,000,000+",0,0,Everyone,EDU;Creativity,03-Feb-18,1.2.0,4.0 and up
Babbel – Learn Languages,EDU,4.3,266948,21M,"10,000,000+",0,0,Everyone,EDU,30-Jul-18,20.7.2,4.4 and up
Math Tricks,EDU,4.5,342918,8.1M,"10,000,000+",0,0,Everyone,EDU,29-Jul-18,2.24,4.0 and up
Monster Truck Driver & Racing,EDU,4.4,748,51M,"1,000,000+",0,0,Everyone,EDU;Action & Adventure,19-Jan-17,1.0.9,2.3 and up
Learn English Words Free,EDU,4.6,172640,14M,"5,000,000+",0,0,Everyone,EDU,02-May-18,2.6.2,4.1 and up
Japanese / English one-shop search dictionary - Free Japanese - English - Japanese dictionary application,EDU,3.9,61,18M,"50,000+",0,0,Mature 17+,EDU,28-May-18,1.4.2,5.0 and up
English speaking texts,EDU,4.4,1619,3.0M,"1,000,000+",0,0,Everyone,EDU,20-Jul-18,1.2,1.6 and up
Thai Handwriting,EDU,4.3,3168,19M,"1,000,000+",0,0,Everyone,EDU,26-Oct-17,3.1,4.4 and up
THAI DICT 2018,EDU,4.4,29855,Varies with device,"1,000,000+",0,0,Mature 17+,EDU,29-Jul-18,Varies with device,Varies with device
Kanji test · Han search Kanji training (free version),EDU,4.2,6736,22M,"1,000,000+",0,0,Mature 17+,EDU,17-Oct-17,2.51.0,4.0.3 and up
Game for KIDS: KIDS match'em,EDU,4.4,7005,6.9M,"1,000,000+",0,0,Everyone,EDU,23-Oct-16,1.17,2.3 and up
Flippy Campus - Buy & sell on campus at a discount,EDU,4,889,7.4M,"500,000+",0,0,Everyone,EDU,09-Mar-18,2.2.4,4.2 and up
Free intellectual training game application |,EDU,4.2,5741,84M,"1,000,000+",0,0,Everyone,EDU;Pretend Play,25-Jul-18,3.7.0,4.4 and up
ABC Preschool Free,EDU,3.8,27572,25M,"5,000,000+",0,0,Everyone,EDU;EDU,25-Oct-17,3,2.3 and up
PINKFONG Baby Shark,EDU,4.5,10852,18M,"1,000,000+",0,0,Everyone,EDU,28-Nov-17,10,4.1 and up
English words application mikan,EDU,4.7,9888,Varies with device,"500,000+",0,0,Everyone,EDU,30-Jul-18,Varies with device,4.1 and up
Learn English for beginners,EDU,4.5,1929,2.5M,"500,000+",0,0,Everyone,EDU,28-Sep-17,1.1,2.3 and up
Listen and learn English in seven days,EDU,4.3,1516,3.9M,"100,000+",0,0,Everyone,EDU,28-Jul-18,3.1,4.1 and up
Lumosity: #1 Brain Games & Cognitive Training App,EDU,4.2,215301,Varies with device,"10,000,000+",0,0,Everyone,EDU,01-Aug-18,Varies with device,Varies with device
Learn English from Persian: Persian to English,EDU,4.3,423,21M,"100,000+",0,0,Everyone,EDU,03-Apr-18,6,4.0.3 and up
English with Lingualeo,EDU,4.7,254519,27M,"5,000,000+",0,0,Everyone,EDU,20-Jul-18,2.8.1,4.1 and up
"Learn languages, grammar & vocabulary with Memrise",EDU,4.7,1107903,Varies with device,"10,000,000+",0,0,Everyone,EDU,02-Aug-18,Varies with device,Varies with device
Khan Academy,EDU,4.6,85375,21M,"5,000,000+",0,0,Everyone,EDU,27-Jul-18,5.0.0,4.1 and up
TED,EDU,4.6,181893,18M,"10,000,000+",0,0,Everyone 10+,EDU,27-Jul-18,3.2.5,4.1 and up
Quizlet: Learn Languages & Vocab with Flashcards,EDU,4.6,211856,Varies with device,"10,000,000+",0,0,Everyone,EDU,01-Aug-18,Varies with device,Varies with device
Udemy - Online Courses,EDU,4.5,99020,18M,"1,000,000+",0,0,Everyone,EDU,02-Aug-18,5.0.4,5.0 and up
Coursera: Online courses,EDU,4.4,90481,Varies with device,"5,000,000+",0,0,Everyone,EDU,27-Jul-18,Varies with device,Varies with device
"edX - Online Courses by Harvard, MIT & more",EDU,4.6,32381,10M,"1,000,000+",0,0,Everyone 10+,EDU,15-Jul-18,2.15.1,4.1 and up
Elevate - Brain Training Games,EDU,4.5,248912,Varies with device,"5,000,000+",0,0,Everyone,EDU,30-Jul-18,Varies with device,Varies with device
NeuroNation - Focus and Brain Training,EDU,4.5,248555,Varies with device,"5,000,000+",0,0,Everyone,EDU;Brain Games,23-May-18,Varies with device,4.0.3 and up
Lumosity: #1 Brain Games & Cognitive Training App,EDU,4.2,215301,Varies with device,"10,000,000+",0,0,Everyone,EDU,01-Aug-18,Varies with device,Varies with device
Peak – Brain Games & Training,EDU,4.4,272145,Varies with device,"10,000,000+",0,0,Everyone,EDU;Brain Games,03-Aug-18,3.14.15,5.0 and up
Memorado - Brain Games,EDU,4.4,56897,97M,"1,000,000+",0,0,Everyone,EDU;Brain Games,16-Jan-17,1.10.0,4.1 and up
Lynda - Online Training Videos,EDU,4.2,8599,17M,"1,000,000+",0,0,Everyone,EDU,11-Jul-18,4.9.10,4.1 and up
Brilliant,EDU,4.5,41185,Varies with device,"1,000,000+",0,0,Everyone,EDU,03-Aug-18,Varies with device,Varies with device
CppDroid - C/C++ IDE,EDU,4.1,29980,Varies with device,"1,000,000+",0,0,Everyone,EDU,17-Aug-17,Varies with device,Varies with device
Quiz&Learn Python,EDU,4,304,2.0M,"10,000+",0,0,Everyone,EDU,04-Jul-16,1.3.0,4.0 and up
C++ Tutorials,EDU,4.1,358,1.9M,"50,000+",0,0,Everyone,EDU,21-Aug-14,1.1,2.3 and up
C++ Programming,EDU,4.3,11904,1.8M,"1,000,000+",0,0,Everyone,EDU,22-Aug-15,2,2.3 and up
C Programming,EDU,4.3,22251,1.8M,"1,000,000+",0,0,Everyone,EDU,28-Jun-15,3,2.3 and up
Udacity - Lifelong Learning,EDU,4.3,22384,17M,"1,000,000+",0,0,Everyone,EDU,31-Jul-18,4.7.0,5.0 and up
Udemy - Online Courses,EDU,4.5,99020,18M,"1,000,000+",0,0,Everyone,EDU,02-Aug-18,5.0.4,5.0 and up
Learn C++,EDU,4.6,73404,5.3M,"1,000,000+",0,0,Everyone,EDU,25-Dec-17,4.5.2,4.0 and up
Learn programming,EDU,4.1,12733,Varies with device,"1,000,000+",0,0,Everyone,EDU,20-May-18,Varies with device,Varies with device
Learn JavaScript,EDU,4.6,25183,5.4M,"1,000,000+",0,0,Everyone,EDU,25-Dec-17,5.7.2,4.0 and up
Learn Java,EDU,4.7,52743,5.4M,"1,000,000+",0,0,Everyone,EDU,25-Dec-17,3.5.2,4.0 and up
Learn HTML,EDU,4.7,61749,5.4M,"1,000,000+",0,0,Everyone,EDU,25-Dec-17,5.5.2,4.0 and up
"Programming Hub, Learn to code",EDU,4.3,55704,15M,"1,000,000+",0,0,Everyone,EDU,04-Aug-18,4.2.8,4.1 and up
Learn SQL,EDU,4.7,19277,5.3M,"1,000,000+",0,0,Everyone,EDU,25-Dec-17,3.4.2,4.0 and up
Ready4 SAT (Prep4 SAT),EDU,4.6,13612,48M,"100,000+",0,0,Everyone,EDU,10-May-18,7.2.3633,4.4 and up
Socratic - Math Answers & Homework Help,EDU,4.6,37862,5.4M,"1,000,000+",0,0,Everyone,EDU,07-Jun-18,1.8.1,4.1 and up
Ready4 GMAT (Prep4 GMAT),EDU,4.6,18372,47M,"100,000+",0,0,Everyone,EDU,21-May-18,7.2.3634,4.4 and up
Pocket GMAT Math,EDU,4.3,656,556k,"10,000+",0,0,Everyone,EDU,11-Jul-14,1.1,2.2 and up
GMAT Question Bank,EDU,4.2,240,29M,"10,000+",0,0,Everyone,EDU,29-Apr-15,1.2.0,2.3.3 and up
GRE Tutor,EDU,4,275,2.3M,"50,000+",0,0,Everyone,EDU,02-Dec-13,2.9,2.1 and up
GRE Flashcards,EDU,4.5,13791,Varies with device,"500,000+",0,0,Everyone,EDU,06-Jun-18,Varies with device,Varies with device
"play2prep: ACT, SAT prep",EDU,4.2,3692,4.4M,"100,000+",0,0,Everyone,EDU,23-Jul-15,4.1.3,2.3.3 and up
SAT Test,EDU,4.1,2363,6.6M,"100,000+",0,0,Everyone,EDU,17-Nov-16,2.48,4.0 and up
GMAT Math Flashcards,EDU,4.4,1769,Varies with device,"100,000+",0,0,Everyone,EDU,11-Jul-18,Varies with device,Varies with device
Pocket SAT Math,EDU,4,430,526k,"10,000+",0,0,Everyone,EDU,11-Jul-14,1.2,2.1 and up
